CNPJ;Data_da_Consulta;Razão Social;Nome Fantasia;Situação;Risco Calculado;Competência;CNAE Principal (Código);CNAE Principal (Descrição);CNAE Secundário 1 (Código);CNAE Secundário 1 (Descrição);CNAE Secundário 2 (Código);CNAE Secundário 2 (Descrição);CNAE Secundário 3 (Código);CNAE Secundário 3 (Descrição);CNAE Secundário 4 (Código);CNAE Secundário 4 (Descrição);CNAE Secundário 5 (Código);CNAE Secundário 5 (Descrição);CNAE Secundário 6 (Código);CNAE Secundário 6 (Descrição);CNAE Secundário 7 (Código);CNAE Secundário 7 (Descrição);CNAE Secundário 8 (Código);CNAE Secundário 8 (Descrição);CNAE Secundário 9 (Código);CNAE Secundário 9 (Descrição);CNAE Secundário 10 (Código);CNAE Secundário 10 (Descrição);CNAE Secundário 11 (Código);CNAE Secundário 11 (Descrição);CNAE Secundário 12 (Código);CNAE Secundário 12 (Descrição);CNAE Secundário 13 (Código);CNAE Secundário 13 (Descrição);CNAE Secundário 14 (Código);CNAE Secundário 14 (Descrição);CNAE Secundário 15 (Código);CNAE Secundário 15 (Descrição);CNAE Secundário 16 (Código);CNAE Secundário 16 (Descrição);CNAE Secundário 17 (Código);CNAE Secundário 17 (Descrição);CNAE Secundário 18 (Código);CNAE Secundário 18 (Descrição);CNAE Secundário 19 (Código);CNAE Secundário 19 (Descrição);CNAE Secundário 20 (Código);CNAE Secundário 20 (Descrição);CNAE Secundário 21 (Código);CNAE Secundário 21 (Descrição);CNAE Secundário 22 (Código);CNAE Secundário 22 (Descrição);CNAE Secundário 23 (Código);CNAE Secundário 23 (Descrição);CNAE Secundário 24 (Código);CNAE Secundário 24 (Descrição);CNAE Secundário 25 (Código);CNAE Secundário 25 (Descrição);CNAE Secundário 26 (Código);CNAE Secundário 26 (Descrição)
2770934000138;23/12/2025 16:56;MARCHI & MARCHI TERRAPLANAGEM LTDA;TERRAPLANAGEM PEROBAL;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4313400;Obras de terraplenagem;4930201;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;4930202;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3431589000170;23/12/2025 20:06;IRMA MARCHI VALESE;FARMACIA RAIO DE LUZ;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4771701;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;4781400;Comércio varejista de artigos do vestuário e acessórios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3948219000105;23/12/2025 23:17;LOTERICA PEROBAL LTDA;LOTERICA AUTENTICA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;8299706;Casas lotéricas;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3741278000108;24/12/2025 02:27;DEPOSITO DE MATERIAIS DE CONSTRUCAO E AUTO PECAS PEROBAL LTDA;DEPOSITO PEROBAL;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4744005;Comércio varejista de materiais de construção não especificados anteriormente;4530703;Comércio a varejo de peças e acessórios novos para veículos automotores;4530704;Comércio a varejo de peças e acessórios usados para veículos automotores;4541206;Comércio a varejo de peças e acessórios novos para motocicletas e motonetas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4725965000100;24/12/2025 05:38;PRADELLA & COLOMBARI LTDA;FARMACIA PEROFARMA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4771701;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11469019000106;24/12/2025 08:49;PARDAL AUTO ELETRICA E MECANICA LTDA;AUTO ELETRICA E MECNICA PARDAL;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4530703;Comércio a varejo de peças e acessórios novos para veículos automotores;4520001;Serviços de manutenção e reparação mecânica de veículos automotores;4520003;Serviços de manutenção e reparação elétrica de veículos automotores;4520007;Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;4530704;Comércio a varejo de peças e acessórios usados para veículos automotores;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5682105000191;24/12/2025 11:59;OFICINA IRMAOS RODRIGUES LTDA;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;2930101;Fabricação de cabines, carrocerias e reboques para caminhões;2511000;Fabricação de estruturas metálicas;2930102;Fabricação de carrocerias para ônibus;2930103;Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus;3101200;Fabricação de móveis com predominância de madeira;4754701;Comércio varejista de móveis;7732201;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;7732202;Aluguel de andaimes;7739003;Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5795691000180;24/12/2025 15:10;S DEI TOS & CIA LTDA;SUMOVEIS;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4754701;Comércio varejista de móveis;4753900;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;4754702;Comércio varejista de artigos de colchoaria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6313730000129;24/12/2025 18:20;CICERO BEZERRA TRANSPORTES;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;7319002;Promoção de vendas;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81099491000767;24/12/2025 21:31;COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;UNIDADE DE ATENDIMENTO PEROBAL;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;6424703;Cooperativas de crédito mútuo;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6922118000153;25/12/2025 00:41;FAVILLA NABHAN CONFECCOES LTDA;FAVILLA CONFECCOES;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;1412601;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;1412603;Facção de peças do vestuário, exceto roupas íntimas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7074091000159;25/12/2025 03:52;AUTO POSTO CAVALO BRANCO LTDA;POSTO CAVALO BRANCO;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4731800;Comércio varejista de combustíveis para veículos automotores;4732600;Comércio varejista de lubrificantes;4530703;Comércio a varejo de peças e acessórios novos para veículos automotores;4729602;Comércio varejista de mercadorias em lojas de conveniência;4930203;Transporte rodoviário de produtos perigosos;4930202;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;4520005;Serviços de lavagem, lubrificação e polimento de veículos automotores;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7536504000170;25/12/2025 07:03;FASSINE & FASSINE LTDA;SUPERMERCADO FASSINE;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4711302;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8171757000150;25/12/2025 10:13;MEDICVEST CONFECCOES LTDA;MEDICVEST CONFECCOES;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;1412602;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;1413401;Confecção de roupas profissionais, exceto sob medida;1413403;Facção de roupas profissionais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8458982000171;25/12/2025 13:24;MARMENTINI & ARAUJO LTDA;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4771704;Comércio varejista de medicamentos veterinários;4623109;Comércio atacadista de alimentos para animais;4644302;Comércio atacadista de medicamentos e drogas de uso veterinário;4744001;Comércio varejista de ferragens e ferramentas;4789099;Comércio varejista de outros produtos não especificados anteriormente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7659752000108;25/12/2025 16:34;PEROGAS COMERCIO DE GAS LTDA;PEROGAS COMERCIO DE GAS LTDA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4784900;Comércio varejista de gás liqüefeito de petróleo (GLP);0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9007549000182;25/12/2025 19:45;DJ MEDICAMENTOS LTDA;BIOFARMA;ATIVA;ALTO;ESTADO;4771701;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;4772500;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;4930202;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9169868000194;25/12/2025 22:55;A B J TINTAS LTDA;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4741500;Comércio varejista de tintas e materiais para pintura;4744005;Comércio varejista de materiais de construção não especificados anteriormente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10615197000127;26/12/2025 02:06;FERRARIPAN DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA;FERRARIPAN DISTRIBUIDORA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4639702;Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada;4663000;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10798706000102;26/12/2025 05:17;LIMA & BARBIERI LTDA;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4744099;Comércio varejista de materiais de construção em geral;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10997502000192;26/12/2025 08:27;M MARQUEZONI CONFECCOES LTDA;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4781400;Comércio varejista de artigos do vestuário e acessórios;4755503;Comercio varejista de artigos de cama, mesa e banho;4755501;Comércio varejista de tecidos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8715659000136;26/12/2025 11:38;JAIR DIANIN ZANON TRANSPORTES LTDA;JZ TRANSPORTES;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4930202;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;4721103;Comércio varejista de laticínios e frios;4930201;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;4930203;Transporte rodoviário de produtos perigosos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11007013000109;26/12/2025 14:48;ALICE MARIA MATIAS CESCON E CIA LTDA;SAPATTARIA CALCADOS;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4782201;Comércio varejista de calçados;4781400;Comércio varejista de artigos do vestuário e acessórios;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11230386000144;26/12/2025 17:59;A. R. EVANGELISTA & CIA LTDA;CARROCERIAS SANTO ANTONIO;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;2930101;Fabricação de cabines, carrocerias e reboques para caminhões;4744001;Comércio varejista de ferragens e ferramentas;4744002;Comércio varejista de madeira e artefatos;2539001;Serviços de usinagem, torneiria e solda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3668976000206;26/12/2025 21:09;PETRAS AGROINDUSTRIA LTDA;PETRAS AGROINDUSTRIA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4744002;Comércio varejista de madeira e artefatos;4671100;Comércio atacadista de madeira e produtos derivados;4679699;Comércio atacadista de materiais de construção em geral;4681803;Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante;4741500;Comércio varejista de tintas e materiais para pintura;4744001;Comércio varejista de ferragens e ferramentas;4744005;Comércio varejista de materiais de construção não especificados anteriormente;4789005;Comércio varejista de produtos saneantes domissanitários;4789099;Comércio varejista de outros produtos não especificados anteriormente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11857292000108;27/12/2025 00:20;L. FERRARI & CIA LTDA;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;1091102;Fabricação de produtos de padaria e confeitaria com predominância de produção própria;4721104;Comércio varejista de doces, balas, bombons e semelhantes;5611203;Lanchonetes, casas de chá, de sucos e similares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97522717000135;27/12/2025 03:30;ESCRITORIO ALVORADA - EVIDENCIA CONTABIL LTDA;ESCRITORIO ALVORADA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;6920601;Atividades de contabilidade;6319400;Portais, provedores de conteúdo e outros serviços de informação na internet;6619302;Correspondentes de instituições financeiras;6920602;Atividades de consultoria e auditoria contábil e tributária;8219999;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14032651000178;27/12/2025 06:41;GRAFICA E PAPELARIA PEROBAL LTDA;GRAFICA E PAPELARIA PEROBAL;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;1813099;Impressão de material para outros usos;5819100;Edição de cadastros, listas e outros produtos gráficos;5829800;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;4751201;Comércio varejista especializado de equipamentos e suprimentos de informática;4761003;Comércio varejista de artigos de papelaria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13387276000116;27/12/2025 09:52;HABER ESCRITORIO CONTABIL LTDA;HABER ESCRITORIO CONTABIL;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;6920601;Atividades de contabilidade;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14201616000135;27/12/2025 13:02;MADEIREIRA CEDRO ROSA LTDA;MADEIREIRA CEDRO ROSA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4744002;Comércio varejista de madeira e artefatos;3101200;Fabricação de móveis com predominância de madeira;4330405;Aplicação de revestimentos e de resinas em interiores e exteriores;4399103;Obras de alvenaria;4671100;Comércio atacadista de madeira e produtos derivados;4744005;Comércio varejista de materiais de construção não especificados anteriormente;4744099;Comércio varejista de materiais de construção em geral;4754701;Comércio varejista de móveis;4930201;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;4930202;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;5212500;Carga e descarga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14409984000173;27/12/2025 16:13;LEANDRO GONCALVES 04027571908;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4520001;Serviços de manutenção e reparação mecânica de veículos automotores;4530703;Comércio a varejo de peças e acessórios novos para veículos automotores;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14504613000170;27/12/2025 19:23;DESIGNER BORDADOS LTDA;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;1340599;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12680600000127;27/12/2025 22:34;DIOCLECIO DAMACENO;MADEIREIRA GUILHERME;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;1610203;Serrarias com desdobramento de madeira em bruto;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14786109000100;28/12/2025 01:44;D G DIAS LTDA;AZUL EMPRESTIMOS FOZ DO IGUACU;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;8219999;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;7319002;Promoção de vendas;8291100;Atividades de cobrança e informações cadastrais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15230844000104;28/12/2025 04:55;BALNEARIO E PESQUEIRO GUILHERME LTDA;BALNEARIO E PESQUEIRO GUILHERME;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;9319199;Outras atividades esportivas não especificadas anteriormente;5611201;Restaurantes e similares;5611204;Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15208389000132;28/12/2025 08:06;LUZINETE DELAZARI RODRIGUES;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4781400;Comércio varejista de artigos do vestuário e acessórios;4772500;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;4763601;Comércio varejista de brinquedos e artigos recreativos;4755503;Comercio varejista de artigos de cama, mesa e banho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15279022000100;28/12/2025 11:16;MAK FERRARI LTDA;COMERCIAL FERRARI;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14832871000186;28/12/2025 14:27;VAGNER APARECIDO DOS SANTOS MARQUES 03401482920;;BAIXADA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;0;********;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17513310000102;28/12/2025 17:37;DECA PRESTADORA DE SERVICOS LTDA.;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4399103;Obras de alvenaria;4330404;Serviços de pintura de edifícios em geral;4321500;Instalações elétricas;4322301;Instalações hidráulicas, sanitárias e de gás;4222701;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;3702900;Atividades relacionadas a esgoto, exceto a gestão de redes;4311801;Demolição de edifícios e outras estruturas;4311802;Preparação de canteiro e limpeza de terreno;4330499;Outras obras de acabamento da construção;8129000;Atividades de limpeza não especificadas anteriormente;2330301;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;2330302;Fabricação de artefatos de cimento para uso na construção;4744099;Comércio varejista de materiais de construção em geral;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17616581000193;28/12/2025 20:48;C. R. PINELI BUFAO CONFECCOES;MUNDO MULHER;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4781400;Comércio varejista de artigos do vestuário e acessórios;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;4782201;Comércio varejista de calçados;4755502;Comercio varejista de artigos de armarinho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7393575000160;28/12/2025 23:58;DISTRIBUIDORA BIG BOM LTDA;BIG BOMTOYS;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4639701;Comércio atacadista de produtos alimentícios em geral;4632001;Comércio atacadista de cereais e leguminosas beneficiados;4632002;Comércio atacadista de farinhas, amidos e féculas;4635401;Comércio atacadista de água mineral;4637104;Comércio atacadista de pães, bolos, biscoitos e similares;4637105;Comércio atacadista de massas alimentícias;4637107;Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;4642701;Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;4646001;Comércio atacadista de cosméticos e produtos de perfumaria;4647801;Comércio atacadista de artigos de escritório e de papelaria;4649408;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;4649499;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;4652400;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;4691500;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;4713002;Lojas de variedades, exceto lojas de departamentos ou magazines;4721104;Comércio varejista de doces, balas, bombons e semelhantes;4723700;Comércio varejista de bebidas;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;4752100;Comércio varejista especializado de equipamentos de telefonia e comunicação;4759899;Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;4761003;Comércio varejista de artigos de papelaria;4763601;Comércio varejista de brinquedos e artigos recreativos;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;4930201;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;4930202;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;4930204;Transporte rodoviário de mudanças;7490104;Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários
