COD_CNAE;DISC_CNAE;CLA_RISCO
6621502;Auditoria e consultoria atuarial;Baixo Risco
6810201;Compra e venda de imóveis próprios;Baixo Risco
6810202;Aluguel de imóveis próprios;Baixo Risco
6821801;Corretagem na compra e venda e avaliação de imóveis;Baixo Risco
6821802;Corretagem no aluguel de imóveis;Baixo Risco
6822600;Gestão e administração da propriedade imobiliária;Baixo Risco
6911701;Serviços advocatícios;Baixo Risco
6920601;Atividades de contabilidade;Baixo Risco
6920602;Atividades de consultoria e auditoria contábil e tributária;Baixo Risco
7111100;Serviços de arquitetura;Baixo Risco
7119703;Serviços de desenho técnico relacionados à arquitetura e engenharia;Baixo Risco
7210000;Pesquisa e desenvolvimento experimental em ciências físicas e naturais;Baixo Risco
7220700;Pesquisa e desenvolvimento experimental em ciências sociais e humanas;Baixo Risco
7319002;Promoção de vendas;Baixo Risco
7319003;Marketing direto;Baixo Risco
7319004;Consultoria em publicidade;Baixo Risco
7320300;Pesquisas de mercado e de opinião pública;Baixo Risco
7410202;Design de interiores;Baixo Risco
7410299;Atividades de design não especificadas anteriormente;Baixo Risco
7420003;Laboratórios fotográficos;Baixo Risco
7420004;Filmagem de festas e eventos;Baixo Risco
7420005;Serviços de microfilmagem;Baixo Risco
7490101;Serviços de tradução, interpretação e similares;Baixo Risco
7490103;Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias;Baixo Risco
7490104;Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;Baixo Risco
7721700;Aluguel de equipamentos recreativos e esportivos;Baixo Risco
7722500;Aluguel de fitas de vídeo, DVDs e similares;Baixo Risco
7723300;Aluguel de objetos do vestuário, jóias e acessórios;Baixo Risco
7729201;Aluguel de aparelhos de jogos eletrônicos;Baixo Risco
7729202;Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal, instrumentos musicais;Baixo Risco
7729299;Aluguel de outros objetos pessoais e domésticos não especificados anteriormente;Baixo Risco
7911200;Agências de viagens;Baixo Risco
8011102;Serviços de adestramento de cães de guarda;Baixo Risco
8030700;Atividades de investigação particular;Baixo Risco
8211300;Serviços combinados de escritório e apoio administrativo;Baixo Risco
8219901;Fotocópias;Baixo Risco
8219999;Preparação de documentos e serviços especializados de apoio administrativo não;Baixo Risco
8220200;Atividades de teleatendimento;Baixo Risco
8291100;Atividades de cobrança e informações cadastrais;Baixo Risco
8299703;Serviços de gravação de carimbos, exceto confecção;Baixo Risco
8592901;Ensino de dança;Baixo Risco
8592902;Ensino de artes cênicas, exceto dança;Baixo Risco
8592903;Ensino de música;Baixo Risco
8592999;Ensino de arte e cultura não especificado anteriormente;Baixo Risco
8599603;Treinamento em informática;Baixo Risco
8599604;Treinamento em desenvolvimento profissional e gerencial;Baixo Risco
8599605;Cursos preparatórios para concursos;Baixo Risco
9001903;Produção de espetáculos de dança;Baixo Risco
9002702;Restauração de obras de arte;Baixo Risco
9102302;Restauração e conservação de lugares e prédios históricos;Baixo Risco
9329803;Exploração de jogos de sinuca, bilhar e similares;Baixo Risco
9329804;Exploração de jogos eletrônicos recreativos;Baixo Risco
9430800;Atividades de associações de defesa de direitos sociais;Baixo Risco
9529101;Reparação de calçados, bolsas e artigos de viagem;Baixo Risco
9529102;Chaveiros;Baixo Risco
9529103;Reparação de relógios;Baixo Risco
9529106;Reparação de joias;Baixo Risco
9609202;Agências matrimoniais;Baixo Risco
9609207;Alojamento de animais domésticos;Baixo Risco
