CNAE,CONDICAO_ID,TEXTO_CONDICAO,RESPOSTA_SIM,RESPOSTA_NAO,ORDEM
4632-0/03,1,Haverá no exercício da atividade a realização de fracionamento, acondicionamento, embalagem e/ou rotulagem, consideradas etapas do processo produtivo?,Alto Risco,Médio Risco,1
4635-4/03,1,Haverá a realização de atividade de engarrafamento e/ou rotulagem consideradas etapas do processo produtivo de água mineral?,Alto Risco,Médio Risco,1
4664-8/00,1,O resultado do exercício da atividade compreenderá a comercialização de produtos para a saúde?,Alto Risco,Baixo Risco,1
4930-2/01,1,Haverá no exercício da atividade o transporte e/ou armazenamento de alimentos que necessitem de condições especiais de temperatura e umidade (perecíveis), medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde e/ou materiais biológicos?,Alto Risco,ver condição 2,1
4930-2/01,2,Haverá no exercício da atividade o transporte e/ou armazenamento de alimentos que não necessitem de condições especiais de temperatura e umidade?,Médio Risco,Baixo Risco,2
4930-2/02,1,Haverá no exercício da atividade o transporte e/ou armazenamento de alimentos que necessitem de condições especiais de temperatura e umidade (perecíveis), medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde e/ou materiais biológicos?,Alto Risco,ver condição 2,1
4930-2/02,2,Haverá no exercício da atividade o transporte e/ou armazenamento de alimentos que não necessitem de condições especiais de temperatura e umidade?,Médio Risco,Baixo Risco,2
5120-0/00,1,Haverá no exercício da atividade o transporte e/ou armazenamento de alimentos que necessitem de condições especiais de umidade (perecíveis), medicamento, perfume, produto de higiene, saneante, produto para saúde e/ou materiais biológicos?,Alto Risco,ver condição 2,1
5120-0/00,2,Haverá no exercício da atividade o transporte e/ou armazenamento de alimentos que não necessitem de condições especiais de umidade?,Médio Risco,Baixo Risco,2
5211-7/01,1,Haverá no exercício da atividade o armazenamento de alimentos que necessitem de condições especiais de temperatura e umidade (perecíveis), medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde e/ou materiais biológicos?,Alto Risco,ver condição 2,1
5211-7/01,2,Haverá no exercício da atividade o armazenamento de alimentos que não necessitem de condições especiais de temperatura e umidade?,Médio Risco,Baixo Risco,2
5211-7/99,1,Haverá no exercício da atividade o armazenamento de alimentos que necessitem de condições especiais de temperatura e umidade (perecíveis), medicamento, cosmético, perfume, produto de higiene, saneante, produto para saúde e/ou materiais biológicos?,Alto Risco,ver condição 2,1
5211-7/99,2,Haverá no exercício da atividade o armazenamento de alimentos que não necessitem de condições especiais de temperatura e umidade?,Médio Risco,Baixo Risco,2
6203-1/00,1,Haverá o desenvolvimento de softwares que realizam ou influenciam diretamente no diagnóstico, monitoramento, terapia (tratamento) para a saúde?,Alto Risco,Baixo Risco,1
7120-1/00,1,Haverá no exercício da atividade a análise de produto sujeito à Vigilância Sanitária?,Alto Risco,Baixo Risco,1
7500-1/00,1,Haverá a comercialização e/ou uso de medicamentos controlados e/ou uso de radiação ionizante?,Alto Risco,Baixo Risco,1
8129-0/00,1,Haverá a prestação de serviços de esterilização e/ou reprocessamento de produtos relacionados à saúde por: gás óxido de etileno ou suas misturas, radiação ionizante, ou outro meio de esterilização?,Alto Risco,Baixo Risco,1
8129-0/00,2,Haverá a prestação de serviços de irradiação de alimentos por radiação ionizante?,Alto Risco,Baixo Risco,2
8423-0/00,1,Haverá a prestação de serviços relacionados a administração de penitenciárias e o fornecimento de serviços correcionais, inclusive de reabilitação?,ver condição 2,Baixo Risco,1
8423-0/00,2,Haverá no exercício da atividade a prestação de serviços de assistência à saúde que envolvam a realização de procedimentos invasivos e/ou odontológicos?,Alto Risco,Médio Risco,2
8292-0/00,1,Haverá no exercício da atividade o envase, fracionamento e/ou embalagem de alimentos, medicamento, cosmético, perfume, produto de higiene, saneante e/ou produto para saúde?,Alto Risco,Baixo Risco,1
8599-6/99,1,Haverá no exercício da atividade o ensino de culinária e/ou estética?,ver condição 2,Baixo Risco,1
8599-6/99,2,Haverá o ensino de atividades que envolva procedimentos invasivos?,Alto Risco,Médio Risco,2
8630-5/03,1,Haverá no exercício da atividade a realização de procedimentos invasivos?,Alto Risco,Médio Risco,1
8630-5/99,1,Haverá no exercício da atividade a realização de procedimentos invasivos?,Alto Risco,Médio Risco,1
8650-0/01,1,Haverá no exercício da atividade a realização de procedimentos invasivos?,Alto Risco,Médio Risco,1
8650-0/04,1,Haverá no exercício da atividade a realização de procedimentos invasivos?,Alto Risco,Médio Risco,1
8650-0/99,1,Haverá no exercício da atividade a realização de procedimentos invasivos?,Alto Risco,Médio Risco,1
8690-9/99,1,Haverá no exercício da atividade a realização de procedimentos invasivos?,Alto Risco,Médio Risco,1
8711-5/05,1,Haverá no exercício da atividade o fornecimento de serviços de alimentação, assistência diária ao idoso e/ou serviços de enfermagem?,Alto Risco,Baixo Risco,1
9601-7/01,1,O exercício da atividade compreenderá lavanderia, autônoma e independente de outro estabelecimento, que processa roupa hospitalar?,Alto Risco,Médio Risco,1
9601-7/02,1,Haverá no exercício da atividade o processamento de roupa hospitalar?,Alto Risco,Médio Risco,1
9601-7/03,1,Haverá no exercício da atividade o processamento de roupa hospitalar?,Alto Risco,Médio Risco,1
9602-5/02,1,Haverá no exercício da atividade a realização de procedimentos invasivos?,Alto Risco,Médio Risco,1
